 ,Label,Area,Mean,StdDev,X,Y,XM,YM,BX,BY,Width,Height,IntDen,RawIntDen
1,red_thresholded,4,255,0,10.000,153.000,10.000,153.000,9,152,2,2,1020,1020
2,red_thresholded,5,255,0,43.700,174.700,43.700,174.700,42,173,3,3,1275,1275
3,red_thresholded,13,255,0,56.654,177.115,56.654,177.115,54,175,5,4,3315,3315
4,red_thresholded,24,255,0,4.292,189.125,4.292,189.125,1,185,6,8,6120,6120
5,red_thresholded,17,255,0,44.500,199.618,44.500,199.618,42,197,5,5,4335,4335
6,red_thresholded,4,255,0,8.000,203.000,8.000,203.000,7,202,2,2,1020,1020
7,red_thresholded,32,255,0,118.094,213.719,118.094,213.719,115,208,5,10,8160,8160
8,red_thresholded,17,255,0,62.382,217.029,62.382,217.029,59,215,8,4,4335,4335
9,red_thresholded,12,255,0,111.333,218.583,111.333,218.583,109,217,5,3,3060,3060
10,red_thresholded,8,255,0,39.000,250.500,39.000,250.500,37,249,4,3,2040,2040
11,red_thresholded,16,255,0,85.000,250.375,85.000,250.375,82,249,6,3,4080,4080
12,red_thresholded,5,255,0,118.900,251.700,118.900,251.700,118,250,2,3,1275,1275
13,red_thresholded,46,255,0,133.304,256.500,133.304,256.500,129,250,9,11,11730,11730
14,red_thresholded,11,255,0,223.045,253.136,223.045,253.136,221,251,4,4,2805,2805
15,red_thresholded,11,255,0,104.500,261.045,104.500,261.045,103,259,4,4,2805,2805
16,red_thresholded,30,255,0,59.200,263.633,59.200,263.633,54,260,9,6,7650,7650
17,red_thresholded,6,255,0,212.500,262.000,212.500,262.000,211,261,3,2,1530,1530
18,red_thresholded,21,255,0,84.548,265.690,84.548,265.690,82,263,5,6,5355,5355
19,red_thresholded,19,255,0,198.289,265.711,198.289,265.711,194,263,8,5,4845,4845
20,red_thresholded,8,255,0,7.875,265.750,7.875,265.750,6,264,4,3,2040,2040
21,red_thresholded,16,255,0,93.062,266.250,93.062,266.250,91,264,4,5,4080,4080
22,red_thresholded,21,255,0,181.262,267.881,181.262,267.881,179,264,6,8,5355,5355
23,red_thresholded,8,255,0,81.250,269.875,81.250,269.875,80,268,3,4,2040,2040
24,red_thresholded,36,255,0,169.472,275.000,169.472,275.000,167,271,6,9,9180,9180
25,red_thresholded,10,255,0,11.200,273.700,11.200,273.700,9,272,4,3,2550,2550
26,red_thresholded,19,255,0,154.921,274.658,154.921,274.658,153,272,4,6,4845,4845
27,red_thresholded,28,255,0,235.964,276.321,235.964,276.321,233,272,6,7,7140,7140
28,red_thresholded,34,255,0,132.735,279.882,132.735,279.882,129,277,8,6,8670,8670
29,red_thresholded,18,255,0,55.500,282.833,55.500,282.833,53,281,5,4,4590,4590
30,red_thresholded,17,255,0,83.559,283.853,83.559,283.853,81,281,5,6,4335,4335
31,red_thresholded,8,255,0,305.625,283.625,305.625,283.625,304,282,3,3,2040,2040
32,red_thresholded,8,255,0,148.625,287.625,148.625,287.625,147,286,3,3,2040,2040
33,red_thresholded,14,255,0,109.286,290.000,109.286,290.000,107,287,4,6,3570,3570
34,red_thresholded,12,255,0,902.250,290.167,902.250,290.167,899,288,5,4,3060,3060
35,red_thresholded,15,255,0,840.967,292.167,840.967,292.167,839,290,4,5,3825,3825
36,red_thresholded,11,255,0,173.591,292.682,173.591,292.682,171,291,5,3,2805,2805
37,red_thresholded,7,255,0,902.786,294.357,902.786,294.357,901,293,3,3,1785,1785
38,red_thresholded,36,255,0,24.417,297.778,24.417,297.778,21,294,8,7,9180,9180
39,red_thresholded,6,255,0,305.500,296.000,305.500,296.000,304,295,3,2,1530,1530
