 ,Label,Area,Mean,StdDev,X,Y,XM,YM,BX,BY,Width,Height,IntDen,RawIntDen
1,Output\AB7923_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,3,255,0,330.833,151.833,330.833,151.833,330,151,2,2,765,765
2,Output\AB7923_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,5,255,0,63.100,203.700,63.100,203.700,62,202,2,3,1275,1275
3,Output\AB7923_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,1,255,0,397.500,214.500,397.500,214.500,397,214,1,1,255,255
4,Output\AB7923_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,1,255,0,449.500,219.500,449.500,219.500,449,219,1,1,255,255
5,Output\AB7923_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,4,255,0,341.500,251.750,341.500,251.750,340,251,3,2,1020,1020
6,Output\AB7923_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,10,255,0,17.400,262.500,17.400,262.500,15,261,5,3,2550,2550
7,Output\AB7923_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,13,255,0,448.115,282.115,448.115,282.115,446,280,4,4,3315,3315
8,Output\AB7923_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,17,255,0,640.912,301.559,640.912,301.559,639,299,4,5,4335,4335
9,Output\AB7923_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,5,255,0,447.900,302.700,447.900,302.700,447,301,2,3,1275,1275
10,Output\AB7923_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,11,255,0,351.136,308.045,351.136,308.045,349,306,4,4,2805,2805
11,Output\AB7923_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,4,255,0,818.750,318.250,818.750,318.250,817,317,3,2,1020,1020
12,Output\AB7923_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,5,255,0,138.100,325.300,138.100,325.300,137,324,2,3,1275,1275
13,Output\AB7923_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,3,255,0,617.167,332.833,617.167,332.833,616,332,2,2,765,765
14,Output\AB7923_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,5,255,0,122.900,337.700,122.900,337.700,122,336,2,3,1275,1275
15,Output\AB7923_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,14,255,0,312.286,345.857,312.286,345.857,310,344,5,4,3570,3570
16,Output\AB7923_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,5,255,0,558.700,348.100,558.700,348.100,557,347,3,2,1275,1275
17,Output\AB7923_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,1,255,0,561.500,347.500,561.500,347.500,561,347,1,1,255,255
18,Output\AB7923_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,4,255,0,333.000,349.000,333.000,349.000,332,348,2,2,1020,1020
19,Output\AB7923_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,2,255,0,315.000,350.500,315.000,350.500,314,350,2,1,510,510
20,Output\AB7923_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,2,255,0,660.000,351.500,660.000,351.500,659,351,2,1,510,510
21,Output\AB7923_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,4,255,0,556.750,353.250,556.750,353.250,555,352,3,2,1020,1020
22,Output\AB7923_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,11,255,0,573.318,353.682,573.318,353.682,571,352,5,4,2805,2805
23,Output\AB7923_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,2,255,0,352.500,357.000,352.500,357.000,352,356,1,2,510,510
24,Output\AB7923_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,4,255,0,645.750,357.750,645.750,357.750,644,357,3,2,1020,1020
25,Output\AB7923_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,8,255,0,740.500,367.750,740.500,367.750,738,365,5,5,2040,2040
26,Output\AB7923_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,6,255,0,229.833,367.667,229.833,367.667,228,366,3,3,1530,1530
27,Output\AB7923_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,7,255,0,667.214,367.500,667.214,367.500,666,366,3,3,1785,1785
28,Output\AB7923_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,4,255,0,606.250,375.750,606.250,375.750,605,374,2,3,1020,1020
29,Output\AB7923_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,2,255,0,255.500,378.000,255.500,378.000,255,377,1,2,510,510
