 ,Label,Area,Mean,StdDev,X,Y,XM,YM,BX,BY,Width,Height,IntDen,RawIntDen
1,Output\AB7929_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_001_Merged-1.tif_colocs,3,255,0,77.167,372.167,77.167,372.167,76,371,2,2,765,765
2,Output\AB7929_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_001_Merged-1.tif_colocs,1,255,0,237.500,416.500,237.500,416.500,237,416,1,1,255,255
3,Output\AB7929_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_001_Merged-1.tif_colocs,3,255,0,566.833,437.167,566.833,437.167,566,436,2,2,765,765
4,Output\AB7929_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_001_Merged-1.tif_colocs,1,255,0,462.500,469.500,462.500,469.500,462,469,1,1,255,255
5,Output\AB7929_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_001_Merged-1.tif_colocs,2,255,0,304.500,490.000,304.500,490.000,304,489,1,2,510,510
6,Output\AB7929_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_001_Merged-1.tif_colocs,9,255,0,990.833,529.389,990.833,529.389,989,528,4,3,2295,2295
7,Output\AB7929_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_001_Merged-1.tif_colocs,2,255,0,734.500,540.000,734.500,540.000,734,539,1,2,510,510
8,Output\AB7929_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_001_Merged-1.tif_colocs,4,255,0,306.000,564.000,306.000,564.000,305,563,2,2,1020,1020
9,Output\AB7929_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_001_Merged-1.tif_colocs,1,255,0,435.500,564.500,435.500,564.500,435,564,1,1,255,255
10,Output\AB7929_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_001_Merged-1.tif_colocs,3,255,0,460.833,576.500,460.833,576.500,460,575,2,3,765,765
11,Output\AB7929_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_001_Merged-1.tif_colocs,1,255,0,268.500,580.500,268.500,580.500,268,580,1,1,255,255
12,Output\AB7929_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_001_Merged-1.tif_colocs,1,255,0,131.500,594.500,131.500,594.500,131,594,1,1,255,255
13,Output\AB7929_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_001_Merged-1.tif_colocs,5,255,0,1005.500,596.300,1005.500,596.300,1004,595,3,3,1275,1275
14,Output\AB7929_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_001_Merged-1.tif_colocs,1,255,0,14.500,599.500,14.500,599.500,14,599,1,1,255,255
15,Output\AB7929_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_001_Merged-1.tif_colocs,5,255,0,870.100,607.300,870.100,607.300,869,606,2,3,1275,1275
16,Output\AB7929_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_001_Merged-1.tif_colocs,1,255,0,86.500,611.500,86.500,611.500,86,611,1,1,255,255
17,Output\AB7929_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_001_Merged-1.tif_colocs,1,255,0,175.500,615.500,175.500,615.500,175,615,1,1,255,255
18,Output\AB7929_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_001_Merged-1.tif_colocs,5,255,0,407.900,623.900,407.900,623.900,406,622,3,3,1275,1275
19,Output\AB7929_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_001_Merged-1.tif_colocs,2,255,0,698.000,623.500,698.000,623.500,697,623,2,1,510,510
20,Output\AB7929_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_001_Merged-1.tif_colocs,18,255,0,45.833,640.500,45.833,640.500,44,638,4,5,4590,4590
21,Output\AB7929_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_001_Merged-1.tif_colocs,2,255,0,863.500,648.000,863.500,648.000,863,647,1,2,510,510
22,Output\AB7929_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_001_Merged-1.tif_colocs,3,255,0,917.833,651.500,917.833,651.500,917,650,2,3,765,765
23,Output\AB7929_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_001_Merged-1.tif_colocs,1,255,0,862.500,651.500,862.500,651.500,862,651,1,1,255,255
24,Output\AB7929_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_001_Merged-1.tif_colocs,3,255,0,580.833,652.833,580.833,652.833,580,652,2,2,765,765
25,Output\AB7929_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_001_Merged-1.tif_colocs,1,255,0,795.500,653.500,795.500,653.500,795,653,1,1,255,255
26,Output\AB7929_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_001_Merged-1.tif_colocs,7,255,0,122.214,656.500,122.214,656.500,120,655,4,3,1785,1785
27,Output\AB7929_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_001_Merged-1.tif_colocs,6,255,0,938.833,657.167,938.833,657.167,937,656,3,3,1530,1530
28,Output\AB7929_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_001_Merged-1.tif_colocs,5,255,0,357.700,659.100,357.700,659.100,356,658,3,2,1275,1275
29,Output\AB7929_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_001_Merged-1.tif_colocs,8,255,0,229.750,663.250,229.750,663.250,228,661,3,4,2040,2040
30,Output\AB7929_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_001_Merged-1.tif_colocs,7,255,0,157.071,673.786,157.071,673.786,156,672,2,4,1785,1785
31,Output\AB7929_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_001_Merged-1.tif_colocs,1,255,0,378.500,673.500,378.500,673.500,378,673,1,1,255,255
32,Output\AB7929_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_001_Merged-1.tif_colocs,7,255,0,142.357,677.929,142.357,677.929,141,676,3,4,1785,1785
33,Output\AB7929_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_001_Merged-1.tif_colocs,14,255,0,578.286,683.143,578.286,683.143,576,681,5,4,3570,3570
34,Output\AB7929_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_001_Merged-1.tif_colocs,2,255,0,838.500,687.000,838.500,687.000,838,686,1,2,510,510
35,Output\AB7929_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_001_Merged-1.tif_colocs,1,255,0,614.500,687.500,614.500,687.500,614,687,1,1,255,255
36,Output\AB7929_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_001_Merged-1.tif_colocs,4,255,0,535.500,699.750,535.500,699.750,534,699,3,2,1020,1020
37,Output\AB7929_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_001_Merged-1.tif_colocs,1,255,0,357.500,704.500,357.500,704.500,357,704,1,1,255,255
38,Output\AB7929_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_001_Merged-1.tif_colocs,4,255,0,817.750,704.750,817.750,704.750,816,704,3,2,1020,1020
39,Output\AB7929_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_001_Merged-1.tif_colocs,4,255,0,480.000,716.000,480.000,716.000,479,715,2,2,1020,1020
