 ,Label,Area,Mean,StdDev,X,Y,XM,YM,BX,BY,Width,Height,IntDen,RawIntDen
1,green_thresholded,9,255,0,47.944,128.722,47.944,128.722,47,126,2,5,2295,2295
2,green_thresholded,6,255,0,53.167,132.333,53.167,132.333,52,131,3,3,1530,1530
3,green_thresholded,7,255,0,99.214,239.071,99.214,239.071,97,238,4,3,1785,1785
4,green_thresholded,37,255,0,409.851,249.959,409.851,249.959,407,245,5,10,9435,9435
5,green_thresholded,6,255,0,500.500,282.333,500.500,282.333,499,281,3,3,1530,1530
6,green_thresholded,4,255,0,142.000,287.000,142.000,287.000,141,286,2,2,1020,1020
7,green_thresholded,6,255,0,518.333,293.333,518.333,293.333,517,292,3,3,1530,1530
8,green_thresholded,79,255,0,614.854,299.892,614.854,299.892,610,293,10,14,20145,20145
9,green_thresholded,4,255,0,809.250,305.250,809.250,305.250,808,304,3,2,1020,1020
10,green_thresholded,19,255,0,617.447,310.711,617.447,310.711,615,308,5,6,4845,4845
11,green_thresholded,5,255,0,808.700,310.900,808.700,310.900,807,310,3,2,1275,1275
12,green_thresholded,14,255,0,817.143,315.857,817.143,315.857,815,314,5,4,3570,3570
13,green_thresholded,7,255,0,816.786,322.500,816.786,322.500,815,321,3,3,1785,1785
14,green_thresholded,8,255,0,281.500,325.000,281.500,325.000,280,323,3,4,2040,2040
15,green_thresholded,5,255,0,216.700,329.100,216.700,329.100,215,328,3,2,1275,1275
16,green_thresholded,9,255,0,380.722,330.611,380.722,330.611,379,329,3,4,2295,2295
17,green_thresholded,6,255,0,19.833,337.333,19.833,337.333,18,336,3,3,1530,1530
18,green_thresholded,9,255,0,80.167,359.944,80.167,359.944,79,358,3,4,2295,2295
19,green_thresholded,17,255,0,78.382,373.500,78.382,373.500,76,371,4,6,4335,4335
20,green_thresholded,9,255,0,99.167,374.056,99.167,374.056,98,372,3,4,2295,2295
21,green_thresholded,6,255,0,156.500,377.667,156.500,377.667,155,376,3,3,1530,1530
22,green_thresholded,6,255,0,24.667,380.500,24.667,380.500,23,379,3,3,1530,1530
23,green_thresholded,4,255,0,170.250,384.750,170.250,384.750,169,383,2,3,1020,1020
24,green_thresholded,5,255,0,487.900,403.300,487.900,403.300,487,402,2,3,1275,1275
25,green_thresholded,8,255,0,139.625,405.375,139.625,405.375,138,404,3,3,2040,2040
26,green_thresholded,4,255,0,388.750,413.250,388.750,413.250,387,412,3,2,1020,1020
27,green_thresholded,7,255,0,276.929,414.786,276.929,414.786,276,413,2,4,1785,1785
28,green_thresholded,8,255,0,294.125,415.125,294.125,415.125,293,413,3,4,2040,2040
29,green_thresholded,12,255,0,170.000,416.000,170.000,416.000,168,414,4,4,3060,3060
30,green_thresholded,4,255,0,238.250,416.500,238.250,416.500,237,415,2,3,1020,1020
31,green_thresholded,13,255,0,46.885,425.269,46.885,425.269,45,423,4,4,3315,3315
32,green_thresholded,4,255,0,305.500,425.000,305.500,425.000,304,424,3,2,1020,1020
33,green_thresholded,10,255,0,511.800,430.200,511.800,430.200,510,428,4,4,2550,2550
34,green_thresholded,6,255,0,144.000,433.500,144.000,433.500,143,432,2,3,1530,1530
35,green_thresholded,10,255,0,566.100,437.500,566.100,437.500,564,436,5,3,2550,2550
36,green_thresholded,15,255,0,13.967,440.633,13.967,440.633,11,439,6,4,3825,3825
37,green_thresholded,25,255,0,300.220,449.060,300.220,449.060,298,445,5,8,6375,6375
38,green_thresholded,6,255,0,266.000,449.833,266.000,449.833,265,448,2,4,1530,1530
39,green_thresholded,6,255,0,761.333,458.333,761.333,458.333,760,457,3,3,1530,1530
40,green_thresholded,5,255,0,343.500,461.700,343.500,461.700,342,460,3,3,1275,1275
41,green_thresholded,7,255,0,4.071,463.786,4.071,463.786,3,462,2,4,1785,1785
42,green_thresholded,13,255,0,179.346,465.654,179.346,465.654,177,464,5,4,3315,3315
43,green_thresholded,6,255,0,612.000,465.500,612.000,465.500,611,464,2,3,1530,1530
44,green_thresholded,5,255,0,35.900,469.300,35.900,469.300,35,468,2,3,1275,1275
45,green_thresholded,5,255,0,463.700,469.100,463.700,469.100,462,468,3,2,1275,1275
46,green_thresholded,4,255,0,11.250,471.500,11.250,471.500,10,470,2,3,1020,1020
47,green_thresholded,15,255,0,191.100,474.367,191.100,474.367,189,472,4,5,3825,3825
48,green_thresholded,4,255,0,135.500,475.250,135.500,475.250,134,474,3,2,1020,1020
49,green_thresholded,4,255,0,116.000,476.000,116.000,476.000,115,475,2,2,1020,1020
50,green_thresholded,16,255,0,443.938,483.875,443.938,483.875,442,481,4,5,4080,4080
51,green_thresholded,5,255,0,647.100,486.300,647.100,486.300,646,485,2,3,1275,1275
52,green_thresholded,11,255,0,405.864,488.682,405.864,488.682,404,487,4,4,2805,2805
53,green_thresholded,5,255,0,144.900,489.700,144.900,489.700,144,488,2,3,1275,1275
54,green_thresholded,4,255,0,305.000,490.500,305.000,490.500,304,489,2,3,1020,1020
55,green_thresholded,5,255,0,131.900,491.900,131.900,491.900,131,490,2,4,1275,1275
56,green_thresholded,6,255,0,742.667,491.667,742.667,491.667,741,490,3,3,1530,1530
57,green_thresholded,4,255,0,280.500,492.000,280.500,492.000,279,491,3,2,1020,1020
58,green_thresholded,5,255,0,315.300,492.300,315.300,492.300,314,491,3,3,1275,1275
59,green_thresholded,10,255,0,18.300,494.300,18.300,494.300,16,492,4,4,2550,2550
60,green_thresholded,17,255,0,247.441,495.735,247.441,495.735,245,493,5,5,4335,4335
61,green_thresholded,4,255,0,757.000,497.000,757.000,497.000,756,496,2,2,1020,1020
62,green_thresholded,9,255,0,1011.500,497.500,1011.500,497.500,1010,496,3,3,2295,2295
63,green_thresholded,13,255,0,736.731,498.346,736.731,498.346,734,497,5,3,3315,3315
64,green_thresholded,6,255,0,71.000,502.500,71.000,502.500,70,501,2,3,1530,1530
65,green_thresholded,9,255,0,1021.944,504.722,1021.944,504.722,1021,502,2,5,2295,2295
66,green_thresholded,4,255,0,393.500,504.250,393.500,504.250,392,503,3,2,1020,1020
67,green_thresholded,6,255,0,58.000,508.500,58.000,508.500,57,507,2,3,1530,1530
68,green_thresholded,9,255,0,861.611,508.722,861.611,508.722,860,507,4,3,2295,2295
69,green_thresholded,5,255,0,332.700,508.900,332.700,508.900,331,508,3,2,1275,1275
70,green_thresholded,6,255,0,757.500,509.000,757.500,509.000,756,508,3,2,1530,1530
71,green_thresholded,16,255,0,429.625,517.250,429.625,517.250,428,514,4,6,4080,4080
72,green_thresholded,10,255,0,38.500,518.800,38.500,518.800,37,517,3,4,2550,2550
73,green_thresholded,6,255,0,959.500,518.000,959.500,518.000,958,517,3,2,1530,1530
74,green_thresholded,6,255,0,413.500,523.000,413.500,523.000,412,522,3,2,1530,1530
75,green_thresholded,4,255,0,407.250,524.500,407.250,524.500,406,523,2,3,1020,1020
76,green_thresholded,7,255,0,23.786,525.643,23.786,525.643,22,524,3,4,1785,1785
77,green_thresholded,5,255,0,959.300,524.900,959.300,524.900,958,524,3,2,1275,1275
78,green_thresholded,12,255,0,990.917,529.250,990.917,529.250,989,527,4,5,3060,3060
79,green_thresholded,15,255,0,732.433,540.100,732.433,540.100,730,538,5,4,3825,3825
80,green_thresholded,8,255,0,9.750,543.250,9.750,543.250,8,541,3,4,2040,2040
81,green_thresholded,8,255,0,125.250,543.875,125.250,543.875,124,542,3,4,2040,2040
82,green_thresholded,13,255,0,271.115,544.423,271.115,544.423,269,542,4,5,3315,3315
83,green_thresholded,20,255,0,93.350,549.300,93.350,549.300,91,546,5,6,5100,5100
84,green_thresholded,5,255,0,203.700,546.900,203.700,546.900,202,546,3,2,1275,1275
85,green_thresholded,4,255,0,217.000,549.500,217.000,549.500,216,548,2,3,1020,1020
86,green_thresholded,20,255,0,402.800,550.800,402.800,550.800,401,548,4,6,5100,5100
87,green_thresholded,10,255,0,30.700,552.000,30.700,552.000,29,550,3,4,2550,2550
88,green_thresholded,6,255,0,120.000,551.500,120.000,551.500,119,550,2,3,1530,1530
89,green_thresholded,7,255,0,201.500,551.500,201.500,551.500,200,550,3,3,1785,1785
90,green_thresholded,6,255,0,341.333,551.667,341.333,551.667,340,550,3,3,1530,1530
91,green_thresholded,4,255,0,659.000,551.000,659.000,551.000,658,550,2,2,1020,1020
92,green_thresholded,7,255,0,327.214,554.500,327.214,554.500,326,553,3,3,1785,1785
93,green_thresholded,9,255,0,59.611,556.833,59.611,556.833,58,555,3,4,2295,2295
94,green_thresholded,6,255,0,98.333,559.667,98.333,559.667,97,558,3,3,1530,1530
95,green_thresholded,4,255,0,446.750,560.250,446.750,560.250,445,559,3,2,1020,1020
96,green_thresholded,17,255,0,457.676,562.441,457.676,562.441,455,560,5,5,4335,4335
97,green_thresholded,7,255,0,823.071,563.786,823.071,563.786,822,562,2,4,1785,1785
