 ,Label,Area,Mean,StdDev,X,Y,XM,YM,BX,BY,Width,Height,IntDen,RawIntDen
1,red_thresholded,11,255,0,63.955,199.318,63.955,199.318,62,197,4,4,2805,2805
2,red_thresholded,21,255,0,110.119,210.262,110.119,210.262,107,208,6,5,5355,5355
3,red_thresholded,11,255,0,20.136,229.955,20.136,229.955,18,228,4,4,2805,2805
4,red_thresholded,5,255,0,14.700,230.900,14.700,230.900,13,230,3,2,1275,1275
5,red_thresholded,18,255,0,28.278,234.333,28.278,234.333,26,232,5,5,4590,4590
6,red_thresholded,12,255,0,196.583,234.917,196.583,234.917,195,232,3,5,3060,3060
7,red_thresholded,9,255,0,4.833,239.944,4.833,239.944,3,238,3,4,2295,2295
8,red_thresholded,4,255,0,259.000,257.000,259.000,257.000,258,256,2,2,1020,1020
9,red_thresholded,7,255,0,171.500,267.214,171.500,267.214,170,265,3,4,1785,1785
10,red_thresholded,16,255,0,174.688,286.688,174.688,286.688,172,285,5,4,4080,4080
11,red_thresholded,6,255,0,183.000,290.500,183.000,290.500,182,289,2,3,1530,1530
12,red_thresholded,43,255,0,273.733,298.570,273.733,298.570,270,293,8,9,10965,10965
13,red_thresholded,32,255,0,177.062,312.938,177.062,312.938,173,310,8,6,8160,8160
14,red_thresholded,9,255,0,122.833,316.722,122.833,316.722,121,315,4,3,2295,2295
15,red_thresholded,26,255,0,64.231,325.000,64.231,325.000,61,321,6,7,6630,6630
16,red_thresholded,8,255,0,3.000,338.000,3.000,338.000,1,337,4,2,2040,2040
17,red_thresholded,33,255,0,20.409,343.591,20.409,343.591,17,340,7,7,8415,8415
18,red_thresholded,6,255,0,50.333,345.333,50.333,345.333,49,344,3,3,1530,1530
19,red_thresholded,5,255,0,411.100,347.700,411.100,347.700,410,346,2,3,1275,1275
20,red_thresholded,10,255,0,81.000,350.200,81.000,350.200,79,348,4,4,2550,2550
21,red_thresholded,20,255,0,26.900,355.750,26.900,355.750,24,353,6,5,5100,5100
22,red_thresholded,4,255,0,131.500,359.250,131.500,359.250,130,358,3,2,1020,1020
23,red_thresholded,6,255,0,434.000,359.000,434.000,359.000,432,358,4,2,1530,1530
24,red_thresholded,5,255,0,50.700,361.900,50.700,361.900,49,361,3,2,1275,1275
25,red_thresholded,47,255,0,72.989,370.777,72.989,370.777,69,367,9,8,11985,11985
26,red_thresholded,14,255,0,150.000,370.786,150.000,370.786,148,369,4,4,3570,3570
27,red_thresholded,5,255,0,58.100,372.300,58.100,372.300,57,371,2,3,1275,1275
28,red_thresholded,11,255,0,94.682,373.591,94.682,373.591,93,372,4,4,2805,2805
29,red_thresholded,10,255,0,111.300,376.600,111.300,376.600,109,375,5,3,2550,2550
30,red_thresholded,19,255,0,6.868,379.237,6.868,379.237,3,377,7,4,4845,4845
31,red_thresholded,18,255,0,138.167,382.000,138.167,382.000,135,380,6,4,4590,4590
32,red_thresholded,24,255,0,42.708,389.625,42.708,389.625,40,387,6,5,6120,6120
33,red_thresholded,58,255,0,21.793,395.172,21.793,395.172,17,389,10,12,14790,14790
34,red_thresholded,45,255,0,336.322,396.944,336.322,396.944,333,392,7,9,11475,11475
35,red_thresholded,23,255,0,150.022,407.065,150.022,407.065,147,404,6,6,5865,5865
36,red_thresholded,4,255,0,800.000,415.500,800.000,415.500,799,414,2,3,1020,1020
37,red_thresholded,12,255,0,236.417,418.250,236.417,418.250,234,416,4,4,3060,3060
38,red_thresholded,9,255,0,80.833,418.611,80.833,418.611,79,417,4,3,2295,2295
39,red_thresholded,5,255,0,771.300,426.100,771.300,426.100,770,425,3,2,1275,1275
40,red_thresholded,4,255,0,203.000,427.000,203.000,427.000,202,426,2,2,1020,1020
41,red_thresholded,5,255,0,391.900,428.700,391.900,428.700,391,427,2,3,1275,1275
42,red_thresholded,5,255,0,148.100,431.300,148.100,431.300,147,430,2,3,1275,1275
43,red_thresholded,14,255,0,134.071,434.429,134.071,434.429,132,432,4,5,3570,3570
44,red_thresholded,7,255,0,208.214,433.643,208.214,433.643,207,432,3,3,1785,1785
45,red_thresholded,34,255,0,566.000,434.824,566.000,434.824,561,432,9,7,8670,8670
46,red_thresholded,36,255,0,39.667,439.333,39.667,439.333,36,435,8,9,9180,9180
47,red_thresholded,20,255,0,120.150,438.750,120.150,438.750,118,435,4,7,5100,5100
48,red_thresholded,10,255,0,780.800,439.800,780.800,439.800,779,438,4,4,2550,2550
49,red_thresholded,16,255,0,192.500,442.000,192.500,442.000,190,440,5,4,4080,4080
50,red_thresholded,19,255,0,309.868,444.921,309.868,444.921,307,442,5,6,4845,4845
51,red_thresholded,8,255,0,183.375,444.625,183.375,444.625,182,443,3,3,2040,2040
