,ImageID,PSD95 Counts,Normalized distance from pia (%),old_names,Animal,Sex,Genotype,Age
0,AB7917_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,0.0,2.0,AB7917,AB7917,F,cko,42
1,AB7917_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,171.0,4.0,AB7917,AB7917,F,cko,42
2,AB7917_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,278.0,6.0,AB7917,AB7917,F,cko,42
3,AB7917_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,92.0,8.0,AB7917,AB7917,F,cko,42
4,AB7917_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,420.0,10.0,AB7917,AB7917,F,cko,42
5,AB7917_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,564.0,12.0,AB7917,AB7917,F,cko,42
6,AB7917_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,530.0,14.0,AB7917,AB7917,F,cko,42
7,AB7917_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,523.0,16.0,AB7917,AB7917,F,cko,42
8,AB7917_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,517.0,18.0,AB7917,AB7917,F,cko,42
9,AB7917_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,554.0,20.0,AB7917,AB7917,F,cko,42
10,AB7917_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,571.0,22.0,AB7917,AB7917,F,cko,42
11,AB7917_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,575.0,24.0,AB7917,AB7917,F,cko,42
12,AB7917_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,522.0,26.0,AB7917,AB7917,F,cko,42
13,AB7917_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,543.0,28.0,AB7917,AB7917,F,cko,42
14,AB7917_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,509.0,30.0,AB7917,AB7917,F,cko,42
15,AB7917_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,510.0,32.0,AB7917,AB7917,F,cko,42
16,AB7917_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,526.0,34.0,AB7917,AB7917,F,cko,42
17,AB7917_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,580.0,36.0,AB7917,AB7917,F,cko,42
18,AB7917_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,528.0,38.0,AB7917,AB7917,F,cko,42
19,AB7917_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,588.0,40.0,AB7917,AB7917,F,cko,42
20,AB7917_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,567.0,42.0,AB7917,AB7917,F,cko,42
21,AB7917_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,552.0,44.0,AB7917,AB7917,F,cko,42
22,AB7917_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,570.0,46.0,AB7917,AB7917,F,cko,42
23,AB7917_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,541.0,48.0,AB7917,AB7917,F,cko,42
24,AB7917_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,604.0,50.0,AB7917,AB7917,F,cko,42
25,AB7917_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,541.0,52.0,AB7917,AB7917,F,cko,42
26,AB7917_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,507.0,54.0,AB7917,AB7917,F,cko,42
27,AB7917_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,553.0,56.0,AB7917,AB7917,F,cko,42
28,AB7917_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,593.0,58.0,AB7917,AB7917,F,cko,42
29,AB7917_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,526.0,60.0,AB7917,AB7917,F,cko,42
