Genotype,Animal,Normalized distance from pia (%),PSD95 Counts
cko,AB7917,2.0,4.333333333333333
cko,AB7917,4.0,96.0
cko,AB7917,6.0,174.66666666666666
cko,AB7917,8.0,156.0
cko,AB7917,10.0,334.3333333333333
cko,AB7917,12.0,415.0
cko,AB7917,14.0,400.6666666666667
cko,AB7917,16.0,365.6666666666667
cko,AB7917,18.0,367.6666666666667
cko,AB7917,20.0,377.0
cko,AB7917,22.0,370.3333333333333
cko,AB7917,24.0,386.3333333333333
cko,AB7917,26.0,369.6666666666667
cko,AB7917,28.0,381.6666666666667
cko,AB7917,30.0,393.0
cko,AB7917,32.0,400.3333333333333
cko,AB7917,34.0,405.6666666666667
cko,AB7917,36.0,424.3333333333333
cko,AB7917,38.0,411.3333333333333
cko,AB7917,40.0,432.6666666666667
cko,AB7917,42.0,423.0
cko,AB7917,44.0,427.0
cko,AB7917,46.0,425.0
cko,AB7917,48.0,411.3333333333333
cko,AB7917,50.0,423.6666666666667
cko,AB7917,52.0,431.0
cko,AB7917,54.0,408.0
cko,AB7917,56.0,405.0
cko,AB7917,58.0,447.0
cko,AB7917,60.0,419.0
cko,AB7917,62.0,443.0
cko,AB7917,64.0,385.3333333333333
cko,AB7917,66.0,396.0
cko,AB7917,68.0,372.3333333333333
cko,AB7917,70.0,349.0
cko,AB7917,72.0,337.3333333333333
cko,AB7917,74.0,329.0
cko,AB7917,76.0,313.3333333333333
cko,AB7917,78.0,320.6666666666667
cko,AB7917,80.0,330.3333333333333
cko,AB7917,82.0,313.0
cko,AB7917,84.0,318.6666666666667
cko,AB7917,86.0,319.0
cko,AB7917,88.0,279.6666666666667
cko,AB7917,90.0,253.33333333333334
cko,AB7917,92.0,189.0
cko,AB7917,94.0,154.66666666666666
cko,AB7917,96.0,123.66666666666667
cko,AB7917,98.0,24.333333333333332
cko,AB7929,2.0,16.0
cko,AB7929,4.0,68.0
cko,AB7929,6.0,130.0
cko,AB7929,8.0,162.75
cko,AB7929,10.0,148.0
cko,AB7929,12.0,147.5
cko,AB7929,14.0,150.25
cko,AB7929,16.0,154.25
cko,AB7929,18.0,153.25
cko,AB7929,20.0,143.25
cko,AB7929,22.0,130.75
cko,AB7929,24.0,126.5
cko,AB7929,26.0,142.75
cko,AB7929,28.0,158.0
cko,AB7929,30.0,153.0
cko,AB7929,32.0,152.5
cko,AB7929,34.0,149.5
cko,AB7929,36.0,177.75
cko,AB7929,38.0,167.75
cko,AB7929,40.0,147.75
cko,AB7929,42.0,144.25
cko,AB7929,44.0,154.5
cko,AB7929,46.0,167.75
cko,AB7929,48.0,182.25
cko,AB7929,50.0,201.75
cko,AB7929,52.0,231.5
cko,AB7929,54.0,221.0
cko,AB7929,56.0,217.75
cko,AB7929,58.0,219.25
cko,AB7929,60.0,219.0
cko,AB7929,62.0,221.5
cko,AB7929,64.0,211.5
cko,AB7929,66.0,215.0
cko,AB7929,68.0,211.25
cko,AB7929,70.0,212.25
cko,AB7929,72.0,181.0
cko,AB7929,74.0,166.0
cko,AB7929,76.0,138.25
cko,AB7929,78.0,149.75
cko,AB7929,80.0,129.75
cko,AB7929,82.0,138.75
cko,AB7929,84.0,128.25
cko,AB7929,86.0,121.0
cko,AB7929,88.0,126.25
cko,AB7929,90.0,114.75
cko,AB7929,92.0,90.25
cko,AB7929,94.0,51.25
cko,AB7929,96.0,44.25
cko,AB7929,98.0,14.75
cko,AB7930,2.0,82.33333333333333
cko,AB7930,4.0,134.33333333333334
cko,AB7930,6.0,174.66666666666666
cko,AB7930,8.0,187.66666666666666
cko,AB7930,10.0,179.0
cko,AB7930,12.0,207.33333333333334
cko,AB7930,14.0,191.66666666666666
cko,AB7930,16.0,191.0
cko,AB7930,18.0,204.66666666666666
cko,AB7930,20.0,202.33333333333334
cko,AB7930,22.0,194.33333333333334
cko,AB7930,24.0,180.33333333333334
cko,AB7930,26.0,167.66666666666666
cko,AB7930,28.0,219.66666666666666
cko,AB7930,30.0,218.66666666666666
cko,AB7930,32.0,211.0
cko,AB7930,34.0,194.66666666666666
cko,AB7930,36.0,186.33333333333334
cko,AB7930,38.0,211.0
cko,AB7930,40.0,208.33333333333334
cko,AB7930,42.0,188.0
cko,AB7930,44.0,208.0
cko,AB7930,46.0,230.33333333333334
cko,AB7930,48.0,242.33333333333334
cko,AB7930,50.0,255.33333333333334
cko,AB7930,52.0,253.0
cko,AB7930,54.0,269.6666666666667
cko,AB7930,56.0,264.6666666666667
cko,AB7930,58.0,252.0
