,ImageID,Synapse Counts,Normalized distance from pia (%),old_names,Animal,Sex,Genotype,Age
0,AB7917_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,0.0,2.0,AB7917,AB7917,F,cko,42
1,AB7917_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,48.0,4.0,AB7917,AB7917,F,cko,42
2,AB7917_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,105.0,6.0,AB7917,AB7917,F,cko,42
3,AB7917_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,17.0,8.0,AB7917,AB7917,F,cko,42
4,AB7917_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,244.0,10.0,AB7917,AB7917,F,cko,42
5,AB7917_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,328.0,12.0,AB7917,AB7917,F,cko,42
6,AB7917_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,316.0,14.0,AB7917,AB7917,F,cko,42
7,AB7917_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,301.0,16.0,AB7917,AB7917,F,cko,42
8,AB7917_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,298.0,18.0,AB7917,AB7917,F,cko,42
9,AB7917_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,283.0,20.0,AB7917,AB7917,F,cko,42
10,AB7917_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,318.0,22.0,AB7917,AB7917,F,cko,42
11,AB7917_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,311.0,24.0,AB7917,AB7917,F,cko,42
12,AB7917_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,314.0,26.0,AB7917,AB7917,F,cko,42
13,AB7917_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,302.0,28.0,AB7917,AB7917,F,cko,42
14,AB7917_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,298.0,30.0,AB7917,AB7917,F,cko,42
15,AB7917_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,307.0,32.0,AB7917,AB7917,F,cko,42
16,AB7917_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,312.0,34.0,AB7917,AB7917,F,cko,42
17,AB7917_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,334.0,36.0,AB7917,AB7917,F,cko,42
18,AB7917_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,296.0,38.0,AB7917,AB7917,F,cko,42
19,AB7917_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,316.0,40.0,AB7917,AB7917,F,cko,42
20,AB7917_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,308.0,42.0,AB7917,AB7917,F,cko,42
21,AB7917_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,307.0,44.0,AB7917,AB7917,F,cko,42
22,AB7917_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,311.0,46.0,AB7917,AB7917,F,cko,42
