Genotype,Animal,Normalized distance from pia (%),Synapse Counts
cko,AB7917,2.0,0.0
cko,AB7917,4.0,19.666666666666668
cko,AB7917,6.0,47.0
cko,AB7917,8.0,39.333333333333336
cko,AB7917,10.0,147.66666666666666
cko,AB7917,12.0,218.66666666666666
cko,AB7917,14.0,203.66666666666666
cko,AB7917,16.0,201.33333333333334
cko,AB7917,18.0,197.66666666666666
cko,AB7917,20.0,201.0
cko,AB7917,22.0,197.0
cko,AB7917,24.0,201.33333333333334
cko,AB7917,26.0,216.0
cko,AB7917,28.0,199.66666666666666
cko,AB7917,30.0,211.66666666666666
cko,AB7917,32.0,220.0
cko,AB7917,34.0,216.66666666666666
cko,AB7917,36.0,232.66666666666666
cko,AB7917,38.0,217.33333333333334
cko,AB7917,40.0,225.0
cko,AB7917,42.0,221.66666666666666
cko,AB7917,44.0,226.66666666666666
cko,AB7917,46.0,231.0
cko,AB7917,48.0,230.0
cko,AB7917,50.0,233.33333333333334
cko,AB7917,52.0,240.0
cko,AB7917,54.0,225.33333333333334
cko,AB7917,56.0,214.33333333333334
cko,AB7917,58.0,257.6666666666667
cko,AB7917,60.0,246.33333333333334
cko,AB7917,62.0,256.0
cko,AB7917,64.0,224.33333333333334
cko,AB7917,66.0,215.0
cko,AB7917,68.0,195.0
cko,AB7917,70.0,175.66666666666666
cko,AB7917,72.0,159.0
cko,AB7917,74.0,154.0
cko,AB7917,76.0,141.33333333333334
cko,AB7917,78.0,134.66666666666666
cko,AB7917,80.0,136.33333333333334
cko,AB7917,82.0,144.0
cko,AB7917,84.0,121.66666666666667
cko,AB7917,86.0,145.0
cko,AB7917,88.0,118.33333333333333
cko,AB7917,90.0,97.66666666666667
cko,AB7917,92.0,74.33333333333333
cko,AB7917,94.0,43.0
cko,AB7917,96.0,20.333333333333332
cko,AB7917,98.0,0.3333333333333333
cko,AB7929,2.0,0.0
cko,AB7929,4.0,3.25
cko,AB7929,6.0,15.25
cko,AB7929,8.0,26.75
cko,AB7929,10.0,20.0
cko,AB7929,12.0,19.0
cko,AB7929,14.0,22.25
cko,AB7929,16.0,24.25
cko,AB7929,18.0,29.25
cko,AB7929,20.0,23.25
