Genotype,Animal,Normalized distance from pia (%),VGluT1 Counts
cko,AB7917,2.0,2.3333333333333335
cko,AB7917,4.0,67.0
cko,AB7917,6.0,170.0
cko,AB7917,8.0,197.33333333333334
cko,AB7917,10.0,458.3333333333333
cko,AB7917,12.0,587.0
cko,AB7917,14.0,570.3333333333334
cko,AB7917,16.0,539.6666666666666
cko,AB7917,18.0,561.6666666666666
cko,AB7917,20.0,536.0
cko,AB7917,22.0,521.6666666666666
cko,AB7917,24.0,518.6666666666666
cko,AB7917,26.0,521.6666666666666
cko,AB7917,28.0,536.3333333333334
cko,AB7917,30.0,535.6666666666666
cko,AB7917,32.0,538.3333333333334
cko,AB7917,34.0,540.3333333333334
cko,AB7917,36.0,545.0
cko,AB7917,38.0,562.6666666666666
cko,AB7917,40.0,555.6666666666666
cko,AB7917,42.0,545.6666666666666
cko,AB7917,44.0,561.6666666666666
cko,AB7917,46.0,575.0
cko,AB7917,48.0,554.3333333333334
cko,AB7917,50.0,536.3333333333334
cko,AB7917,52.0,596.3333333333334
cko,AB7917,54.0,537.6666666666666
cko,AB7917,56.0,543.0
cko,AB7917,58.0,609.3333333333334
cko,AB7917,60.0,571.3333333333334
cko,AB7917,62.0,582.6666666666666
cko,AB7917,64.0,532.0
cko,AB7917,66.0,532.0
cko,AB7917,68.0,513.3333333333334
cko,AB7917,70.0,516.6666666666666
cko,AB7917,72.0,492.3333333333333
cko,AB7917,74.0,517.3333333333334
cko,AB7917,76.0,519.3333333333334
cko,AB7917,78.0,494.0
cko,AB7917,80.0,503.6666666666667
cko,AB7917,82.0,515.3333333333334
cko,AB7917,84.0,501.3333333333333
cko,AB7917,86.0,470.3333333333333
cko,AB7917,88.0,377.0
cko,AB7917,90.0,308.3333333333333
cko,AB7917,92.0,223.66666666666666
cko,AB7917,94.0,147.66666666666666
cko,AB7917,96.0,87.33333333333333
cko,AB7917,98.0,5.333333333333333
cko,AB7929,2.0,7.0
cko,AB7929,4.0,60.75
cko,AB7929,6.0,175.75
cko,AB7929,8.0,226.0
cko,AB7929,10.0,248.5
cko,AB7929,12.0,235.0
cko,AB7929,14.0,252.5
cko,AB7929,16.0,251.0
cko,AB7929,18.0,264.5
cko,AB7929,20.0,223.0
cko,AB7929,22.0,226.25
cko,AB7929,24.0,221.5
cko,AB7929,26.0,218.5
cko,AB7929,28.0,227.0
cko,AB7929,30.0,235.75
cko,AB7929,32.0,226.75
cko,AB7929,34.0,235.5
cko,AB7929,36.0,224.75
cko,AB7929,38.0,219.75
cko,AB7929,40.0,203.5
cko,AB7929,42.0,178.25
cko,AB7929,44.0,196.5
cko,AB7929,46.0,220.75
cko,AB7929,48.0,220.5
cko,AB7929,50.0,241.75
cko,AB7929,52.0,239.5
cko,AB7929,54.0,236.0
cko,AB7929,56.0,232.75
cko,AB7929,58.0,240.5
cko,AB7929,60.0,239.25
cko,AB7929,62.0,230.25
cko,AB7929,64.0,244.5
cko,AB7929,66.0,250.5
cko,AB7929,68.0,254.25
cko,AB7929,70.0,210.0
cko,AB7929,72.0,191.5
cko,AB7929,74.0,200.75
cko,AB7929,76.0,205.75
cko,AB7929,78.0,203.25
cko,AB7929,80.0,201.5
cko,AB7929,82.0,191.75
cko,AB7929,84.0,176.75
cko,AB7929,86.0,171.0
cko,AB7929,88.0,134.25
cko,AB7929,90.0,107.0
cko,AB7929,92.0,61.0
cko,AB7929,94.0,14.75
cko,AB7929,96.0,11.0
cko,AB7929,98.0,2.0
cko,AB7930,2.0,84.33333333333333
cko,AB7930,4.0,145.33333333333334
cko,AB7930,6.0,241.33333333333334
cko,AB7930,8.0,257.0
cko,AB7930,10.0,267.3333333333333
cko,AB7930,12.0,312.6666666666667
cko,AB7930,14.0,296.3333333333333
cko,AB7930,16.0,310.0
cko,AB7930,18.0,338.0
cko,AB7930,20.0,363.0
cko,AB7930,22.0,379.3333333333333
cko,AB7930,24.0,355.3333333333333
cko,AB7930,26.0,370.3333333333333
cko,AB7930,28.0,361.0
cko,AB7930,30.0,353.0
cko,AB7930,32.0,391.0
cko,AB7930,34.0,361.6666666666667
cko,AB7930,36.0,366.6666666666667
cko,AB7930,38.0,363.6666666666667
cko,AB7930,40.0,366.3333333333333
cko,AB7930,42.0,321.6666666666667
cko,AB7930,44.0,344.0
cko,AB7930,46.0,366.0
cko,AB7930,48.0,373.3333333333333
cko,AB7930,50.0,392.6666666666667
cko,AB7930,52.0,397.6666666666667
cko,AB7930,54.0,413.3333333333333
cko,AB7930,56.0,355.3333333333333
cko,AB7930,58.0,387.6666666666667
cko,AB7930,60.0,405.0
cko,AB7930,62.0,389.0
cko,AB7930,64.0,399.6666666666667
cko,AB7930,66.0,394.6666666666667
cko,AB7930,68.0,364.3333333333333
cko,AB7930,70.0,361.3333333333333
cko,AB7930,72.0,341.6666666666667
cko,AB7930,74.0,387.0
cko,AB7930,76.0,376.0
cko,AB7930,78.0,389.0
cko,AB7930,80.0,357.0
cko,AB7930,82.0,336.6666666666667
cko,AB7930,84.0,372.6666666666667
cko,AB7930,86.0,318.0
cko,AB7930,88.0,294.0
cko,AB7930,90.0,224.0
cko,AB7930,92.0,189.0
cko,AB7930,94.0,96.66666666666667
cko,AB7930,96.0,31.0
cko,AB7930,98.0,7.666666666666667
